# Format: service_name|state|type|fragment_path
# state: enabled, disabled, masked, indirect
# type: always 'package' for system services

acpid.service|enabled|package|/usr/lib/systemd/system/acpid.service
audit-rules.service|disabled|package|/usr/lib/systemd/system/audit-rules.service
auditd.service|disabled|package|/usr/lib/systemd/system/auditd.service
avahi-daemon.service|disabled|package|/usr/lib/systemd/system/avahi-daemon.service
avahi-dnsconfd.service|disabled|package|/usr/lib/systemd/system/avahi-dnsconfd.service
bluetooth.service|enabled|package|/usr/lib/systemd/system/bluetooth.service
canberra-system-bootup.service|disabled|package|/usr/lib/systemd/system/canberra-system-bootup.service
canberra-system-shutdown-reboot.service|disabled|package|/usr/lib/systemd/system/canberra-system-shutdown-reboot.service
canberra-system-shutdown.service|disabled|package|/usr/lib/systemd/system/canberra-system-shutdown.service
console-getty.service|disabled|package|/usr/lib/systemd/system/console-getty.service
dbus-broker.service|disabled|package|/usr/lib/systemd/system/dbus-broker.service
debug-shell.service|disabled|package|/usr/lib/systemd/system/debug-shell.service
e2scrub_reap.service|disabled|package|/usr/lib/systemd/system/e2scrub_reap.service
ead.service|disabled|package|/usr/lib/systemd/system/ead.service
fancontrol.service|disabled|package|/usr/lib/systemd/system/fancontrol.service
getty@.service|enabled|package|
gpm.service|disabled|package|/usr/lib/systemd/system/gpm.service
gpsd.service|disabled|package|/usr/lib/systemd/system/gpsd.service
healthd.service|disabled|package|/usr/lib/systemd/system/healthd.service
ip6tables.service|disabled|package|/usr/lib/systemd/system/ip6tables.service
iptables.service|disabled|package|/usr/lib/systemd/system/iptables.service
iwd.service|disabled|package|/usr/lib/systemd/system/iwd.service
krb5-kadmind.service|disabled|package|/usr/lib/systemd/system/krb5-kadmind.service
krb5-kdc.service|disabled|package|/usr/lib/systemd/system/krb5-kdc.service
krb5-kpropd.service|disabled|package|/usr/lib/systemd/system/krb5-kpropd.service
lastlog2-import.service|disabled|package|/usr/lib/systemd/system/lastlog2-import.service
lm_sensors.service|disabled|package|/usr/lib/systemd/system/lm_sensors.service
mpd.service|disabled|package|/usr/lib/systemd/system/mpd.service
NetworkManager-config-initrd.service|disabled|package|/usr/lib/systemd/system/NetworkManager-config-initrd.service
NetworkManager-dispatcher.service|enabled|package|/usr/lib/systemd/system/NetworkManager-dispatcher.service
NetworkManager-initrd.service|disabled|package|/usr/lib/systemd/system/NetworkManager-initrd.service
NetworkManager-wait-online-initrd.service|disabled|package|/usr/lib/systemd/system/NetworkManager-wait-online-initrd.service
NetworkManager-wait-online.service|enabled|package|/usr/lib/systemd/system/NetworkManager-wait-online.service
NetworkManager.service|enabled|package|/usr/lib/systemd/system/NetworkManager.service
nvidia-hibernate.service|enabled|package|/usr/lib/systemd/system/nvidia-hibernate.service
nvidia-persistenced.service|disabled|package|/usr/lib/systemd/system/nvidia-persistenced.service
nvidia-powerd.service|disabled|package|/usr/lib/systemd/system/nvidia-powerd.service
nvidia-resume.service|enabled|package|/usr/lib/systemd/system/nvidia-resume.service
nvidia-suspend-then-hibernate.service|enabled|package|/usr/lib/systemd/system/nvidia-suspend-then-hibernate.service
nvidia-suspend.service|enabled|package|/usr/lib/systemd/system/nvidia-suspend.service
openrgb.service|enabled|package|/usr/lib/systemd/system/openrgb.service
ostree-remount.service|disabled|package|/usr/lib/systemd/system/ostree-remount.service
ostree-state-overlay@.service|disabled|package|
pcscd.service|indirect|package|/usr/lib/systemd/system/pcscd.service
reflector.service|disabled|package|/usr/lib/systemd/system/reflector.service
rfkill-block@.service|disabled|package|
rfkill-unblock@.service|disabled|package|
rsyncd.service|disabled|package|/usr/lib/systemd/system/rsyncd.service
rtkit-daemon.service|disabled|package|/usr/lib/systemd/system/rtkit-daemon.service
seatd.service|enabled|package|/usr/lib/systemd/system/seatd.service
sensord.service|disabled|package|/usr/lib/systemd/system/sensord.service
serial-getty@.service|disabled|package|
smartd.service|disabled|package|/usr/lib/systemd/system/smartd.service
sndiod.service|disabled|package|/usr/lib/systemd/system/sndiod.service
sshd.service|enabled|package|/usr/lib/systemd/system/sshd.service
sshd@.service|indirect|package|
sshdgenkeys.service|disabled|package|/usr/lib/systemd/system/sshdgenkeys.service
sudo_logsrvd.service|disabled|package|/usr/lib/systemd/system/sudo_logsrvd.service
systemd-boot-check-no-failures.service|disabled|package|/usr/lib/systemd/system/systemd-boot-check-no-failures.service
systemd-boot-clear-sysfail.service|disabled|package|/usr/lib/systemd/system/systemd-boot-clear-sysfail.service
systemd-boot-update.service|disabled|package|/usr/lib/systemd/system/systemd-boot-update.service
systemd-confext.service|disabled|package|/usr/lib/systemd/system/systemd-confext.service
systemd-fsck-root.service|enabled-runtime|package|/usr/lib/systemd/system/systemd-fsck-root.service
systemd-homed-activate.service|disabled|package|/usr/lib/systemd/system/systemd-homed-activate.service
systemd-homed-firstboot.service|disabled|package|/usr/lib/systemd/system/systemd-homed-firstboot.service
